date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2023-01-01,ARE,AED,United Arab Emirates,18,3.673,4.90062619112442,-0.0857,-0.06318,0.05001,0.55505,0.38525,56107.3276,4.59935122917425,-0.02762,-0.10097,0.03576,0.56499,0.22515
2023-01-01,ARG,ARS,Argentina,980,184.69875,5.30593737098925,-0.01009,0.01431,0.13686,0.68366,0.49982,9763.33271706122,3.93039330291454,0.23199,0.13906,0.31229,0.98281,0.55224
2023-01-01,AUS,AUD,Australia,7.25,1.41854032200865,5.11088750000001,-0.04648,-0.02298,0.09506,0.62177,0.44469,69708.2786206897,4.79567578023945,-0.02742,-0.10078,0.03598,0.56532,0.2254
2023-01-01,AZE,AZN,Azerbaijan,4.9,1.7025,2.87812041116006,-0.46304,-0.44981,-0.38333,-0.08672,-0.18645,12694.3811591837,3.97270187153409,-0.33885,-0.38871,-0.29575,0.06409,-0.16698
2023-01-01,BHR,BHD,Bahrain,1.7,0.377,4.50928381962865,-0.15872,-0.13799,-0.03384,0.43087,0.27463,34124.7773647059,4.28204148372725,-0.03897,-0.11146,0.02367,0.54672,0.21085
2023-01-01,BRA,BRL,Brazil,22.9,5.1581,4.4396192396425,-0.17171,-0.1513,-0.04876,0.40877,0.25494,10849.3389065502,3.9460693888942,0.02674,-0.0507,0.09367,0.65248,0.29364
2023-01-01,CAN,CAD,Canada,6.11,1.33595,4.57352445825068,-0.14673,-0.12571,-0.02007,0.45126,0.29279,62895.9883600655,4.69734296328361,-0.11146,-0.17848,-0.05354,0.43006,0.11952
2023-01-01,CHE,CHF,Switzerland,6.7,0.92315,7.25775876076477,0.35406,0.38742,0.55506,1.30301,1.05154,70567.36,4.80807629295837,0.37756,0.27366,0.46735,1.21711,0.73566
2023-01-01,CHL,CLP,Chile,3800,800.425,4.74747790236437,-0.11428,-0.09245,0.0172,0.50646,0.34196,18591.6236033263,4.0578263215529,0.0677,-0.01283,0.1373,0.71841,0.34525
2023-01-01,CHN,CNY,China,24,6.78405,3.53770977513432,-0.33998,-0.32372,-0.24201,0.12258,0,19279.7857766667,4.06775968059048,-0.20632,-0.26618,-0.15458,0.27739,0
2023-01-01,COL,COP,Colombia,18900,4545.55,4.15791268383364,-0.22427,-0.20516,-0.10912,0.31938,0.17531,8044.09059970794,3.90557669734422,-0.02844,-0.10172,0.03489,0.56367,0.22412
2023-01-01,CRI,CRC,Costa Rica,2800,564.07,4.96392291736841,-0.07389,-0.05108,0.06358,0.57514,0.40315,16202.0707878286,4.02333403619465,0.12595,0.04102,0.19934,0.81215,0.41864
2023-01-01,CZE,CZK,Czech Republic,99,21.94565,4.511144577627,-0.15837,-0.13763,-0.03344,0.43146,0.27516,34918.7924331313,4.29350278901469,-0.04114,-0.11347,0.02136,0.54323,0.20811
